Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.00252158,0.231511,0.114286,0.0266059,0.236025,0.698951,0.28405,0.212809,0.804043,0.0079605,0.19197,0,0.446897,0.0607721,0.0285714,0.241908,0
0.159578,0.209003,0.102857,0.0420602,0.248447,0.766376,0.292783,0.192644,0.607451,0.185745,0.12831,0.213927,0.486043,0.00275333,0,0.55707,0
0.0100863,0.21865,0.142857,0.0336517,0.236025,0.623684,0.294741,0.0893087,0.787721,0.236162,0.232044,0.110679,0.402222,0.0447395,0.048934,0.241908,0
0.0287504,0.234727,0.148571,0.0168282,0.329192,0.434838,0.186277,0.172183,0.0529798,0.234726,0.188245,0.333942,0.263104,0.0308045,0.00406455,0.449744,0
0.226283,0.209003,0.171429,0.0420602,0.341614,0.447816,0.128664,0.110445,0,0.0950086,0.0928279,0.37851,0.255906,0.0241351,0,0.449744,1
0.109159,0.21865,0.12,0.0237975,0.279503,0.568044,0.316825,0.0014358,0.575707,0.419253,0.214192,0.21807,0.36872,0.00332423,0,0.465077,0
0.279907,0.21865,0.2,0.0475819,0.360248,0.453237,0.111149,0.0812847,0,0.0663375,0.071332,0.347727,0.255636,0.00213663,0,0.449744,1
0.0237885,0.212219,0.114286,0.0538534,0.236025,0.687297,0.285716,0.196893,0.828783,0.037149,0.199535,0.0251781,0.440419,0.00341843,0.0285714,0.241908,0
0.217734,0.215434,0.194286,0.0564167,0.360248,0.44486,0.131812,0.113873,0,0.103792,0.0955943,0.369802,0.254592,0.0241351,0,0.449744,1
0.169115,0.21865,0.102857,0.00841439,0.248447,0.768169,0.295474,0.188665,0.591682,0.196359,0.12371,0.225965,0.487508,0.00275333,0,0.55707,0
0.115471,0.221865,0.0457143,0.0303343,0.229814,0.847682,0.322415,0.178039,0.421238,0.216256,0.0514449,0.476353,0.492793,0.0043918,0.000518031,0.255537,0
